Country_Code,Year,Adjusted net national income per capita (constant 2010 US$),Armed forces personnel (% of total labor force),Computer communications and other services (% of commercial service imports),Consumer price index (2010 = 100),Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment in services (% of total employment),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),GINI index (World Bank estimate),GNI per capita growth (annual %),Government Budget,High-technology exports (% of manufactured exports),Improved sanitation facilities urban (% of urban population with access),Improved water source urban (% of urban population with access),Income share held by highest 10%,Income share held by lowest 20%,Individuals using the Internet (% of population),Inflation consumer prices (annual %),Informal employment (% of total non-agricultural employment),Interest arrears official creditors (current US$),Interest arrears private creditors (current US$),Interest payments on external debt (% of exports of goods services and primary income),Internally displaced persons new displacement associated with conflict and violence (number of cases),Internally displaced persons new displacement associated with disasters (number of cases),Internet Speed,Labor force participation rate for ages 15-24 female (%) (modeled ILO estimate),Labor force participation rate for ages 15-24 male (%) (modeled ILO estimate),Military expenditure (% of central government expenditure),Mobile cellular subscriptions (per 100 people),Ores and metals exports (% of merchandise exports),Population in the largest city (% of urban population),Precipitation,Prevalence of HIV total (% of population ages 15-49),Retirement Age Men,Retirement Age Women,Share of youth not in education employment or training female (% of female youth population),Share of youth not in education employment or training male (% of male youth population),Terrorism Index,Total debt service (% of exports of goods services and primary income),Total reserves (% of total external debt),Tourist Arrivals,Unemployment with advanced education female (% of female labor force with advanced education),Unemployment with advanced education male (% of male labor force with advanced education),Unemployment female (% of female labor force) (modeled ILO estimate),Unemployment male (% of male labor force) (modeled ILO estimate),Unemployment total (% of total labor force) (modeled ILO estimate),Unemployment youth female (% of female labor force ages 15-24) (modeled ILO estimate),Unemployment youth male (% of male labor force ages 15-24) (modeled ILO estimate),Urban population growth (annual %),Value lost due to electrical outages (% of sales),Vulnerable employment female (% of female employment),Vulnerable employment male (% of male employment),Wholesale price index (2010 = 100),Stability,KNN_Value,LR_Value
BIH,2000,477.644101499,-0.694241613284,2.78744009962,12.12760785,-4,-0.39999961853,4.29999923706,0.000352079,10.536370302,30,0.646196773138,1090.2755,1.756544819283,98.4,99.4,8.26666666667,2.93333333333,0.88858655,-0.765625,0,1202000,0,5.728198766988,0,0,1090.2755,-0.088525772095,-0.107181549072,8.11604839933,1.03339764,14.144077467788,-0.321958822954,0,0.1,80,80,1.5,1.74374997616,100,14.22237031627,17.79254311439,100,1.01250004768,-1.20624995232,0.700000762939,0.39999961853,0.5,-1,0,-0.028269820401,1.9,24.399999141693,25.399999260902,0,4.8,6,4.8,
BWA,2000,-110.149066201,-0.018773307396,-7.96672044463,3.48763354,-0.5,0.200000762939,0.300003051758,0.012185244714,0.563706182,64.7,-1.04868259881,657.6748,0.510234320739,69.2,99.5,13.275,0.575,1.780275148,0.852188957,0,0,0,0.490439803565,0,0,657.6748,-0.627716064453,-2.12118911743,16.4333487778,7.3241259,6.971103297075,0,0,26.9,80,80,3.82727258856,2.59090909091,100,2.033725120127,1396.49414582506,100,0.427272709933,0.40000000867,-3.29999923706,-1.89999961853,-2.49999904633,-0.699999809265,-0.199999809265,-0.159650322022,1.4,27.199999809265,25.099999427795,0,8.5,10,8.5,
BRA,2000,148.214997934,-0.027800825858,2.39149659368,3.45793556,-4.90000152588,2.10000038147,2.70000076294,0.053235365,3.19666902,59,5.35709798497,856.884,18.727259874913,82.8,97.6,0.15,-0.05,0.831952975,2.18673621,0,106591000,69749000,25.465955702676,0,0,856.884,0.446525573731,-0.733352661133,8.099573397764,4.548359737,9.809783129769,-0.117111544384,0,0.3,65,60,2.25454538519,1.10000003468,5313,87.004613916695,13.613899761535,5313,0.300000011921,0.4375,-0.89999961853,-0.700000762939,-0.800000190735,-0.299999237061,-0.200000762939,-0.088113746475,3.4,32.800000190735,34.70000076294,6.14309120699,6.1,8,6.1,
BGR,2000,307.981708251,0.045036505318,2.33252004954,5.24634074,-0.5,-0.399997711182,0.900001525879,0.014313245,0.89216339,35.7,9.05511339294,2211.8736,2.871843796723,86.7,99.9,3.325,0.7125,2.462769444,7.743250736,0,0,672000,8.410362791533,0,0,2211.8736,-3.01405525208,-1.26927947998,12.094233206971,4.885181845,12.667056072888,-0.106409558999,0,0.1,62.5,57.5,-5.82000007629,-5.5,2354051,17.506185203914,29.205685971565,2354051,3.5,3.34999990463,2.30000019073,2,2.10000038147,1.79999923706,5.20000076294,0.064253067139,1.2,11.700000286102,16.200000047684,0,6.8,8,6.8,
BFA,2000,1.66054340849,0.016002754478,-1.80081033728,-0.22859671,0.099998474121,-0.399999856949,0.299999237061,0.00010165575,0.038862398,43.3,-6.19978427058,282.0075,3.175585166718,46.8,84.6,6.76,1.16,0.015299876,0.76840146,0,3778000,1494000,5.731173519762,0,0,282.0075,-1.11982727051,-0.551528930664,17.7686370117,0.172842669,0.032441821075,0.271800979119,0,2.5,80,80,0,0,100,18.954502352529,0,100,0.618749976158,0.731249988079,0.100000023842,0.299999952316,0.200000047684,0.299999952316,0.5,-0.00314549976,5.8,97.099998474121,92,0,5.3,6,5.3,
BDI,2000,1.86607355546,-0.023372532659,-3.02448591097,8.20096998,-0.099998474121,0,0.099999904633,-0.0001855227,0.009478639,33.4,3.04611655731,85.2641,0.029389169318,36.4,93.9,3.5,1.1125,0.038043978,20.932256687,0,19657514.7,15050.9,15.636791814857,0,0,85.2641,-0.925621032715,-1.29864501953,33.0701963462,0.232297976,0.782458626286,-0.679631763598,0,3.4,80,80,0.375,0.40000000596,100,40.856904789291,3.343817576173,100,0,0,0,0.100000023842,0,0,0,0.417669989601,10.7,97.599996566773,89.900000095367,0,2.5,4,2.5,
KHM,2000,22.3968907275,-0.170044772892,-6.79631716554,-0.47131541,-2.59999847412,2,0.700000762939,0.000098353,0.021011383,50,-2.38240856896,247.0515,0.082465587744,43.3,57.1,0,0,0.015053062,-4.80019955,6.66428593227,77000,0,0.297046720331,0,0,247.0515,-3.35012817383,-2.59150695801,24.2993977766,0.3229588,0.0054169257,-0.064259961268,0,1.6,80,80,-7.85999984741,-7.98000030518,382326,0.662358179663,31.418723351454,382326,0.16428571088,0.149999993188,1.59999990463,2.30000007153,2,3.99999976158,5.60000014305,-0.197673105685,0.4,87.899997711182,81.299999237061,0,4.9,6,4.9,
CMR,2000,-39.3669489778,-0.009732837358,15.2029494986,0.94092763,0,0,0.10000038147,0.0001591,-0.013334312,42.1,-2.98360912931,198.8291,1.388853814529,60.7,85.5,11.2333333333,2.06666666667,0.123052497,-0.644554877,0,88875000,116232000,10.750883816715,0,0,198.8291,-0.511264801025,-0.744567871094,0,0.609747676,5.591910066857,0.160485275397,0,4.6,80,80,1.77777777778,0.644444465637,100,20.782519410029,2.085160158522,100,0,0,0.39999961853,0.200000286102,0.400000095367,0.599999427795,0.39999961853,0.017480318482,4.9,90.39999961853,67.39999961853,0,5.1,6,5.1,
CAN,2000,1864.06704973,-0.01564787034,-0.123036194039,2.16800229,-0.299999952316,-0.39999961853,0.699996948242,2.682767489,0.88348188,33.3,0.696566998895,3435.7613,17.729428352552,100,100,12.8,3.55,15.11355996,0.984597006,0,0,0,0.1,0,0,3435.7613,1.30139923096,0.535530090332,5.935480453438,5.70712478,4.645853067523,0.098004535277,0,0.1,65,65,-6,5.90000009537,3038015,0,0,3038015,-0.400000095367,-0.39999961853,-0.60000038147,-0.900000095367,-0.799999713898,-1.30000019073,-1.60000038147,0.048302576256,0,9.099999815226,11.899999812245,0,9.2,10,9.2,
CPV,2000,282.668123508,-0.021472643473,-6.7189414938,-1.99840197,-2.5,0.199999809265,2.29999923706,0.009959661667,1.55678334,52.5,-0.492074745823,344.9089,0.815744884704,60.2,83.9,14.2,1.4,0.662461391,-6.83389043,0,3908000,0,3.428526426375,0,0,344.9089,-1.13374328613,-1.51142883301,4.13035882962,2.60100996,0,0,0,1.1,80,80,0,0,145076,11.438328411956,8.819691757385,145076,0,0,0,-0.10000038147,0,0,-0.10000038147,-0.120179151093,5.5,56,43.200001716614,0,7.9,8,7.9,
TCD,2000,-50.7234888612,-0.049147788569,0,2.65715772,0.599998474121,0,-0.5,0.000237439364,0.002403287,39.8,-1.61914628326,167.404,0.1,25.7,59.6,6.14,1.26,0.023385348,11.847660508,0,9505000,485000,0.1,0,0,167.404,0.089157104492,0.143707275391,0,0.066255872,0.1,0.027022634496,0,2,80,80,0,0,100,0,10.351501383095,100,0,0,0.099999904633,0,0,0,0,0.093753682163,3.3,99.199996948242,92.500001907349,0,2.7,4,2.7,
CHL,2000,766.059163873,-0.089478338253,2.59685690285,8.96451262273,-0.199999809265,-0.5,0.700000762939,0.0248472895,1.00448259,52.8,0.125067978605,1195.947,3.406050312505,95.3,99.2,21.3,1.9,12.496580703,0.506390611,-3.51666673024,0,0,0.1,0,0,1195.947,-0.947238922119,-3.79263305664,13.350506672313,7.20098172,45.348424016577,0.216874884151,0,0.2,65,60,-1.44166660309,0.558333317439,100,0,0,100,0.675000011921,0.725000023842,-0.599999427795,-0.699999809265,-0.60000038147,-0.099998474121,-0.700000762939,-0.046190013019,1.8,23.099999189377,29.800000786781,0,8,8,8,
CHN,2000,288.586887619,0.005366982017,-6.02314632938,0.207236061253,-0.299999237061,-0.10000038147,0.39999961853,0.00088486,2.77028713,42.8,0,714.5325,18.984379699295,75.3,97.2,3.18,0.51,1.06772525,1.61503245,0,0,0,3.576884402614,0,0,714.5325,-1.70969390869,-1.51183319092,4.36235396571,3.257381813,1.904796141398,0.065497326069,0,0.1,60,50,0,0,1016.04,13.134911834176,117.91535789707,1016.04,0,0,-0.099999904633,-0.199999809265,-0.199999809265,-0.400000572205,-0.5,-0.120836018608,1.3,55.799999237061,49.199999809265,0,5.3,6,5.3,
COL,2000,48.1945088623,0.042752348155,-2.31299307661,4.91458791,-0.5,0.5,0,0.0111183565,1.03908093,58.7,8.07930783249,685.7463,7.740420728849,83.3,97.2,0.1,-0.1,0.509802199,-1.653610698,-5.59999974569,0,14000,13.171144981467,0,0,685.7463,1.04514312744,0.168594360352,17.903844320681,0.644119853,0.663788414333,0.224158930112,0,0.4,80,80,6.75999984741,3.24000015259,100,30.49104526947,26.277437825927,100,-1.02727274461,-1.16363638098,0.39999961853,0.200000762939,0.39999961853,0.700000762939,0.39999961853,-0.027572467504,2.3,46.100000858307,46.400000095367,0,2.7,4,2.7,
COG,2000,-96.212901436,-0.036954687902,-0.502661753336,-0.64098929,-0.100002288818,-0.89999961853,0.89999961853,0.000284436091,-0.018898976,47.3,2.81761067728,1,2.221095533428,17.7,95.3,5.25714285714,0.7,0.009563683,-5.02466289,0,477299000,186614000,1.459123813646,0,0,1,-0.129093170166,-0.281009674072,5.49258561315,2.074903704,0.036483029104,0.397003220491,0,4.3,80,80,4.15714291164,3.38571439471,100,1.704708044251,4.813129742742,100,2.14285714286,2.74285725185,3.20000076294,2.20000076294,2.69999980927,5.10000038147,3.60000038147,-0.040371599667,16.4,91.499998569489,63.300000667572,0,2.9,4,2.9,
CRI,2000,614.107202997,-0.007497975385,0.527965930814,3.70096573,0.60000038147,-1.20000076294,0.600002288818,0.05489344975,1.97941758,47.4,0,780.9239,51.713868049001,94.6,99.4,-0.2,0,1.895929766,0.94664052,2.79230763362,24057000,2964000,3.802775230762,0,0,780.9239,-1.69004058838,-0.602752685547,0,1.788383448,0.760986514295,-0.094133730255,0,0.2,80,80,2.13333336512,1.10833334923,100,9.542510470039,28.094241637047,100,-0.600000143051,-0.899999856949,-1.30000019073,-0.599999904633,-0.800000190735,-1.79999923706,-2.5999994278,-0.180980553081,1.7,20.600000858307,24.900000810623,0,7.3,8,7.3,
CIV,2000,101.681317748,0.006531369875,3.35482592371,1.8568389,0.300003051758,0,-0.299999237061,0.0004884742,0.246832693,41.3,-0.069573608233,1,2.851928920351,29.9,91.4,8.175,1.525,0.112775754,1.828399361,-5.1555557251,70369000,8200000,11.992174380843,0,0,383.4149,-0.568592071533,-1.20095443726,3.89400015727,1.304685496,0.170278961175,-0.292592303538,0,6.3,80,80,-2.57777786255,-1.31666670905,100,22.661102471895,0,100,-0.538888878293,-0.649999989404,0,-0.099999904633,-0.099999427795,0,-0.099999427795,-0.00163727899,5,87.399997711182,73.400001525879,0,2.4,4,2.4,
HRV,2000,473.838507188,0.159509280819,5.00274544128,3.34192725,-2.10000038147,-1.70000076294,3.79999923706,0.0154147124,2.25272562,32.6,10.4276723155,2638.0601,8.681440522983,98.2,99.8,-2.20909090909,0.627272727273,2.239523425,0.592176791,0,0,0,0.1,0,0,2638.0601,-0.20293045044,-0.515159606934,7.832997408746,16.544302427,3.017940899837,0.663701643428,0,0.1,65,60,-2.28571428571,-2.48571423122,67810,0,0,67810,-2.25,-2.375,2.89999961853,2.30000019073,2.5999994278,6.40000152588,5.60000228882,-4.02223287388,0.8,18.800000190735,18.800000429153,0,6.9,8,6.9,
CUB,2000,53.9006788626,-0.173014766965,0,0,0,0.700000762939,-0.700000762939,0.001913187556,0.479464408,50,-0.335458752517,104.7438,21.430092796893,89.8,94.9,0,0,0.226492008,0,0,0,0,0.1,0,0,104.7438,-0.769384384155,-1.73227310181,0,0.012416113,37.275411908156,-0.091125740273,0,0.1,80,80,0,0,246064,0,0,246064,-0.10000000149,-0.08749999851,-1.09999990463,-0.799999713898,-0.900000095367,-2,-1.69999980927,-0.049075805672,0,4.699999906123,14.60000038147,0,6.1,8,6.1,
CYP,2000,596.357766311,-0.060857642187,0.194344399145,3.07678042,-0.199999809265,-0.200000762939,0.300003051758,0.086671846333,0.83504515,30.1,7.44016526232,842.4841,1.673148135626,100,100,4.05,1.46666666667,3.91299571,2.511657647,0,0,0,0.1,0,0,842.4841,0.063758850098,0.332942962647,5.2436678153,6.759235,4.851525024622,0,0,0.1,65,65,2.26000003815,-1.26000003815,93722,0,0,93722,-1.10000002384,-1.45000004768,1,-2.00000023842,-0.699999809265,0.300000190735,-5.80000019073,-0.048428054696,0,14.799999713898,20.400000751019,4.83484932596,7.4,8,7.4,
CZE,2000,257.696748915,0.078666352439,0.000247332751,2.9232928,0,-0.599998474121,0.700000762939,0.0121946485,0.71035441,27.5,3.36176313123,4742.876,8.486691670817,99.1,99.9,-3.85,1.5,2.94772587,1.759704518,0,0,0,0.1,0,0,4742.876,-0.24488067627,-2.49920272827,6.110281263593,23.46431469,1.970006328643,0.012307059192,0,0.1,61,58,-2.92000007629,1.73999996185,100,0,0,100,-0.299999952316,0,0.39999961853,0.099999904633,0.300000190735,-0.599998474121,1.10000038147,-0.179900074156,0.6,7.800000190735,13.20000000298,0,8.5,10,8.5,
DOM,2000,-17.8223326089,-0.013221754539,0.435991671441,5.691284055,-2,0.5,1.5,0,0.000083863,42.2,8.1747722593,1,0.1,29.5,84.8,5.4,0.95,0.004893038,229.0118678,0,2863040000,178827000,3.837924151697,0,0,233.8996,-0.060031890869,-0.09725189209,10.766656055888,0.005799395,0.1,0.141004066415,0,2.2,80,80,0,0,100,7.908691707494,0.698242282963,100,0,0,0,-0.100000143051,0,0,0,0.19210900154,5.6,87.200000762939,74.199998855591,0,2.3,4,2.3,
DNK,2000,706.812516841,-0.176505417257,-2.27695441105,2.32099102,0.299999952316,-1.5,1.19999694824,0.627542601,3.44629792,24.9,-0.688992662008,3406.6978,21.43657116414,99.6,100,3.43333333333,-1.65,8.58039021,0.446094075,0,0,0,0.1,0,0,3406.6978,-1.39610290527,-2.22217559814,3.96115653727,13.59315181,1.020116413078,0.025382381806,0,0.1,65,65,1.08000001907,-1.1,100,0,0,100,0,-0.400000095367,-0.900000095367,-0.400000095367,-0.599999904633,-3.39999961853,-2.89999961853,-0.010764263484,0,4.200000047684,5.500000193715,0,9.4,10,9.4,
ECU,2000,-115.854965052,-0.015897947419,-3.88250053694,22.3998783,1,0.5,-1.5,0.006840953667,0.576714037,56.4,6.74280319901,661.9382,5.616494512856,79.4,87.9,-1.9,0.4,0.638816902,43.85176278,-5.56666692098,973000,2084000,18.066896126508,0,0,661.9382,-0.673973083496,-1.05083847046,0,0.728897193,0.203603279052,0.029749634073,0,0.3,80,80,-2.23636367104,-0.781818216497,100,35.526583023076,6.889298198469,100,-2.06666660309,-3.10000006358,-7.60000038147,-4.0999994278,-5.39999961853,-15.2000007629,-8.39999961853,-0.085116575455,2.7,49.200000762939,38.900000095367,0,4.1,6,4.1,
